"modnr","seed","train.AUC","test.AUC","features","rm","parameters","AUC"
441,10560,0.8684,0.838387731671314,"QHPT",3,55,0.824561403508772
442,14538,0.8826,0.850680662620961,"QHPT",3.5,56,0.798245614035088
443,16936,0.8568,0.843258979826144,"QHPT",4,58,0.807017543859649
444,12957,0.8568,0.842652123995408,"QHPT",4,58,0.807017543859649
445,15618,0.8168,0.824282433983927,"LQH",3.5,53,0.736842105263158
446,32226,0.8568,0.85835656880433,"QHPT",4,58,0.798245614035088
447,20878,0.8384,0.854795391175988,"LQHP",4,53,0.771929824561403
448,28776,0.8568,0.855117270788913,"QHPT",4,58,0.798245614035088
449,6399,0.8568,0.842963752665245,"QHPT",4,58,0.807017543859649
450,27401,0.8864,0.838695259963917,"LQHP",3.5,56,0.798245614035088
451,27170,0.8384,0.841266196490077,"LQHP",2,42,0.771929824561403
452,16532,0.8384,0.846814006888634,"LQHP",4,53,0.771929824561403
453,20549,0.8826,0.84268082663605,"QHPT",3.5,56,0.798245614035088
454,28573,0.8568,0.832807118254879,"QHPT",4,58,0.798245614035088
455,922,0.8568,0.838777267508611,"QHPT",4,58,0.807017543859649
456,1513,0.8568,0.828686239134,"QHPT",4,58,0.798245614035088
457,27695,0.8384,0.851480236181729,"LQHP",4,53,0.771929824561403
458,27022,0.8864,0.851381827128096,"LQHP",3.5,56,0.798245614035088
459,9070,0.8384,0.848216335902903,"LQHP",4,53,0.771929824561403
460,22668,0.8384,0.843956043956044,"LQHP",4,53,0.771929824561403
461,16609,0.8864,0.830439150401837,"LQHP",3.5,56,0.798245614035088
462,14011,0.8864,0.847412661964901,"LQHP",3.5,56,0.798245614035088
463,26195,0.8864,0.838851074298836,"LQHP",3.5,56,0.798245614035088
464,514,0.8384,0.824335738887978,"LQHP",4,53,0.771929824561403
465,2750,0.8864,0.830213629653928,"LQHP",3.5,56,0.798245614035088
466,11737,0.8568,0.840839757257668,"QHPT",4,58,0.807017543859649
467,12553,0.8384,0.834373462358537,"LQHP",4,53,0.771929824561403
468,28981,0.8384,0.845194357880925,"LQHP",4,53,0.771929824561403
469,7269,0.8568,0.847092832540594,"QHPT",4,58,0.798245614035088
470,30315,0.8864,0.826824667869444,"LQHP",3.5,56,0.798245614035088
471,10310,0.8384,0.83715146793505,"LQHP",4,53,0.771929824561403
472,12646,0.8826,0.835472363457438,"QHPT",3.5,56,0.798245614035088
473,28892,0.8117,0.827995325569952,"LQH",1,54,0.728070175438597
474,31928,0.8647,0.838326226012793,"LQHP",3,58,0.824561403508772
475,11430,0.8062,0.830703624733475,"LQH",4,55,0.763157894736842
476,31618,0.8826,0.847853452517632,"QHPT",3.5,56,0.798245614035088
477,13016,0.8568,0.836448253239298,"QHPT",4,58,0.807017543859649
478,10632,0.8568,0.840704444808922,"QHPT",4,58,0.807017543859649
479,13488,0.8568,0.832782515991471,"QHPT",4,58,0.807017543859649
480,3952,0.8568,0.843837133016238,"QHPT",4,58,0.807017543859649
481,23908,0.8647,0.831244874528457,"LQHP",3,57,0.824561403508772
482,18658,0.8826,0.858270460882401,"QHPT",3.5,56,0.798245614035088
483,27253,0.8384,0.831974741676234,"LQHP",4,53,0.771929824561403
484,3136,0.8568,0.84700262424143,"QHPT",4,58,0.807017543859649
485,28933,0.8568,0.836546662292931,"QHPT",4,58,0.807017543859649
486,31350,0.8864,0.843459898310645,"LQHP",3.5,56,0.798245614035088
487,20362,0.8384,0.835714285714286,"LQHP",4,53,0.771929824561403
488,28753,0.8568,0.853686239134,"QHPT",4,58,0.807017543859649
489,31239,0.8384,0.847757093652616,"LQHP",4,53,0.771929824561403
490,9685,0.8864,0.844936034115139,"LQHP",3.5,56,0.798245614035088
491,26168,0.8568,0.843029358701,"QHPT",4,58,0.807017543859649
492,28104,0.8568,0.839693701820567,"QHPT",4,58,0.807017543859649
493,3695,0.8647,0.836653272101033,"LQHP",3,58,0.824561403508772
494,18386,0.8384,0.851189109398065,"LQHP",4,53,0.771929824561403
495,20258,0.8826,0.839125799573561,"QHPT",3.5,56,0.798245614035088
496,24470,0.8568,0.843521403969165,"QHPT",4,58,0.807017543859649
497,27746,0.8568,0.846004182384779,"QHPT",4,58,0.798245614035088
498,4711,0.8384,0.839326718058061,"LQHP",4,53,0.771929824561403
499,15160,0.8384,0.847092832540594,"LQHP",4,53,0.771929824561403
500,32169,0.8568,0.840835656880433,"QHPT",4,58,0.798245614035088
